Paddock ID,pH (1:5 Water),Total Nitrogen,Phosphorus (Olsen),Phosphorus Buffer Index (PBI-Col),Calcium (Amm-acet.),Potassium (Amm-acet.) meq/100g,Magnesium (Amm-acet.),K:CaMg,Cation Exch. Cap.,Sodium % of Cations (ESP),Sulfate Sulfur (KCl40),Phosphorus (Colwell),Potassium (Colwell)
1,6.9,0.26,45,66,9,1.4,1.4,0.134615385,12,2.7,42,120,640
2,6.9,0.26,45,66,9,1.4,1.4,0.134615385,12,2.7,42,120,640
3,7,0.25,32,79,8.4,1.5,1.3,0.154639175,11.7,3.3,27,120,710
4,6.2,0.25,29,75,10,1,2.1,0.082644628,14,4.4,330,92,450
5,6.2,0.25,29,75,10,1,2.1,0.082644628,14,4.4,330,92,450
6,6.2,0.25,29,75,10,1,2.1,0.082644628,14,4.4,330,92,450
7,5.9,0.34,27,77,8.8,1.3,1.7,0.123809524,12.3,3.6,150,97,580
8,6.3,0.29,71,64,7.1,1.8,1.9,0.2,11.2,3,26,270,890
9,6.4,0.29,35,74,11,1.1,1.5,0.088,13.8,3.7,170,140,550
10,6.4,0.29,35,74,11,1.1,1.5,0.088,13.8,3.7,170,140,550
