No ,Name ,Product type ,Status ,Actives ,Has protected,Details
,,,,,,
82715,Glymount 540K Herbicide,HERBICIDE,Registered,GLYPHOSATE,,
82501,Novaguard Glyphosate 540 K Herbicide,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE POTASSIUM SALT,,
82251,WEEDPRO BIOAQUA 360 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
82180,Allout 360 Herbicide,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
81992,RELYON GLYPHIX MAX HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE POTASSIUM SALT,,
81988,Rophosate 450SL Herbicide,HERBICIDE,Registered,GLYPHOSATE ISOPROPYLAMINE SALT,,
81935,Weed Force Evict 450 Herbicide,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
81926,KELPIE GLY 680 DRY HERBICIDE,HERBICIDE,Registered,GLYPHOSATE,Yes,
81835,Alpha Glyphosate Dry 700SG Herbicide,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE MONO-AMMONIUM SALT,,
81791,RELYON GLYPHIX 450 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
81772,Brunnings Trade Ready To Use Weed Kill,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE DIAMMONIUM SALT,,
81765,Wipe-Out 450 Herbicide,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
81719,SMART Maxx 540 Herbicide,HERBICIDE,Registered,GLYPHOSATE MONOETHANOLAMINE SALT,Yes,
81684,Eureka! Glyphosate 540 SL Herbicide,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE POTASSIUM SALT,,
81521,ROPHOSATE 510 HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE ISOPROPYLAMINE SALT,,
81493,NEWK 540 GLYPHOSATE HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE POTASSIUM SALT,Yes,
81472,KELPIE GLY 540 SL HERBICIDE,HERBICIDE,Registered,GLYPHOSATE PRESENT AS THE POTASSIUM SALT,,
